sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2024-25,2023-24,1,38,1,false,2282,1847,32,5,60.05263157894737,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,-,none
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2025-26,2024-25,1,38,1,false,2072,1514,32,3,54.526315789473685,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,-,none
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2022-23,2021-22,16,23,1,false,1295,1106,22,5,56.30434782608695,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,-,none
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2023-24,2022-23,16,23,1,false,1411,1077,22,3,61.34782608695652,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,-,none
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2024-25,2023-24,16,23,1,false,1384,1336,16,5,60.17391304347826,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,-,none
reach2#1,1786651296-646925,bank_up_to = 1,3,false,2025-26,2024-25,16,23,1,false,1327,1288,19,4,57.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2022-23,2021-22,1,38,5,false,1968,1842,35,0,51.78947368421053,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2023-24,2022-23,1,38,5,false,2330,1809,36,0,61.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2024-25,2023-24,1,38,5,false,2257,1847,33,0,59.39473684210526,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2025-26,2024-25,1,38,5,false,2191,1514,34,0,57.6578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2022-23,2021-22,16,23,5,false,1379,1106,21,0,59.95652173913044,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2023-24,2022-23,16,23,5,false,1432,1077,21,0,62.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2024-25,2023-24,16,23,5,false,1405,1336,19,0,61.08695652173913,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,-,none
reach2#1,1786651296-646925,max_hits = 0,4,false,2025-26,2024-25,16,23,5,false,1331,1288,21,0,57.869565217391305,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,-,none
reach2#1,1786651296-646925,decision_horizon = 1,5,false,2022-23,2021-22,1,38,5,false,2050,1842,15,0,53.94736842105263,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,-,none
reach2#1,1786651296-646925,decision_horizon = 1,5,false,2023-24,2022-23,1,38,5,false,2141,1809,14,0,56.3421052631579,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,-,none
reach2#1,1786651296-646925,decision_horizon = 1,5,false,2024-25,2023-24,1,38,5,false,2187,1847,10,0,57.55263157894737,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,-,none
reach2#1,1786651296-646925,decision_horizon = 1,5,false,2025-26,2024-25,1,38,5,false,2029,1514,10,0,53.39473684210526,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,-,none
reach2#1,1786651296-646925,decision_horizon = 1,5,false,2022-23,2021-22,16,23,5,false,1383,1106,10,0,60.130434782608695,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,-,none
