"metric","p","design","clusters","estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season"
"policy",1,"current: 6 nested starts",3,"season-clustered",1.22788168103961,2,4.30265272974946,5.28314846673442,200.759641735908,6.58551366147119,250.249519135905
"policy",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.46382828809791,2,4.30265272974946,10.6009975094184,402.837905357899,13.2142820447083,502.142717698916
"policy",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.46382828809791,5,2.57058183563631,6.3334722435114,240.671945253433,8.59907022141323,326.764668413703
"policy",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.46382828809791,2,4.30265272974946,10.6009975094184,402.837905357899,13.2142820447083,502.142717698916
"policy",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.46382828809791,8,2.30600413520417,5.68159822078677,215.900732389897,7.87166935965487,299.123435666885
"policy",0.678007139108077,"disjoint 2 x 19gw, clustered by season, p=0.68",3,"season-clustered",2.34983438245623,2,4.30265272974946,10.1105213201345,384.199810165109,12.6028970598846,478.910088275615
"policy",0.678007139108077,"disjoint 2 x 19gw as 6 clusters, p=0.68",6,"segment-clustered",2.34983438245623,5,2.57058183563631,6.04044158029567,229.536780051235,8.20121717127934,311.646252508615
"policy",0.678007139108077,"disjoint 3 x 13gw, clustered by season, p=0.68",3,"season-clustered",2.20134032842549,2,4.30265272974946,9.4716029732075,359.920912981885,11.8064769841011,448.646125395843
"policy",0.678007139108077,"disjoint 3 x 13gw as 9 clusters, p=0.68",9,"segment-clustered",2.20134032842549,8,2.30600413520417,5.07629990034087,192.899396212953,7.03304824331609,267.255833246011
"hold",1,"current: 6 nested starts",3,"season-clustered",1.29257133363377,2,4.30265272974946,5.56148557705524,211.336451928099,6.93246450982491,263.433651373347
"hold",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.59363248541583,2,4.30265272974946,11.1594998933413,424.060995946969,13.9104625708562,528.597577692534
"hold",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.59363248541583,5,2.57058183563631,6.66714455532619,253.351493102395,9.05210317552087,343.979920669793
"hold",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.59363248541583,2,4.30265272974946,11.1594998933413,424.060995946969,13.9104625708562,528.597577692534
"hold",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.59363248541583,8,2.30600413520417,5.98092723656876,227.275234989613,8.28637996579491,314.882438700206
"hold",0.678007139108077,"disjoint 2 x 19gw, clustered by season, p=0.68",3,"season-clustered",2.47363293096639,2,4.30265272974946,10.6431834828207,404.440972347186,13.2668674122997,504.14096166739
"hold",0.678007139108077,"disjoint 2 x 19gw as 6 clusters, p=0.68",6,"segment-clustered",2.47363293096639,5,2.57058183563631,6.35867588037401,241.629683454213,8.63328965664304,328.065006952436
"hold",0.678007139108077,"disjoint 3 x 13gw, clustered by season, p=0.68",3,"season-clustered",2.31731562416147,2,4.30265272974946,9.97060439598942,378.882967047598,12.4284887839806,472.282573791263
"hold",0.678007139108077,"disjoint 3 x 13gw as 9 clusters, p=0.68",9,"segment-clustered",2.31731562416147,8,2.30600413520417,5.34373941188957,203.062097651804,7.40357697956444,281.335925223449
"hold_fixedcap",1,"current: 6 nested starts",3,"season-clustered",1.43338340527873,2,4.30265272974946,6.16735102150009,234.359338817003,7.68768371036937,292.131980994036
