season,gw,team,xgc,clean_sheet,element,cf,def,xgc90,opponent,home,strength_cut,strength_end,difficulty_end,difficulty_pit,def_pit,def_moved,ambiguous
2020-21,9,11,1.269879932377049,1,255,1,1.2,1.0582332769808742,9,1,1200,1240,4,3,1.0,1,0
2020-21,9,12,1.2178842813155324,0,278,1,1.2,1.0149035677629437,17,0,1290,1250,4,4,1.2,0,0
2020-21,9,13,0.9773840719298246,1,291,1,0.85,1.1498636140350877,18,1,1020,1050,2,2,0.85,0,0
2020-21,9,14,1.8140842961692774,0,323,1,1.2,1.5117369134743979,5,1,1250,1250,4,4,1.2,0,0
2020-21,9,16,1.1759381517857141,0,363,1,1,1.1759381517857141,20,0,1210,1110,3,3,1.0,0,0
2020-21,9,17,1.4359115502212385,1,383,1,1.2,1.1965929585176989,12,1,1330,1340,4,4,1.2,0,0
2020-21,9,18,1.8525292076923079,0,417,1,1.2,1.54377433974359,13,0,1250,1320,4,4,1.2,0,0
2020-21,9,19,1.1335453243254017,1,431,1,0.85,1.3335827345004725,15,0,1160,1040,2,3,1.0,1,0
2020-21,9,20,0.9491312276315789,0,455,1,0.85,1.1166249736842104,16,1,1090,1060,2,2,0.85,0,0
2020-21,10,1,1.1094797582106453,0,8,1,0.85,1.3052703037772297,20,1,1160,1080,2,3,1.0,1,0
2020-21,10,2,1.4885451555194806,0,12,1,1.2,1.240454296266234,19,0,1170,1260,4,3,1.0,1,0
2020-21,10,3,1.6022768345709493,0,66,1,1.2,1.335230695475791,11,1,1320,1250,4,4,1.2,0,0
2020-21,10,5,0.9319858218629962,1,110,1,1,0.9319858218629962,17,1,1270,1190,3,4,1.2,1,0
2020-21,10,6,1.1348643642857141,0,128,1,0.85,1.3351345462184874,14,1,1100,1050,2,2,0.85,0,0
2020-21,10,7,1.2545859430175825,0,156,1,1,1.2545859430175825,10,1,1100,1160,3,2,0.85,1,0
2020-21,10,8,1.677722925,0,516,1,1.2,1.3981024375000002,9,0,1240,1260,4,4,1.2,0,0
2020-21,10,9,1.083514263157895,0,217,1,0.85,1.2747226625386998,8,1,1000,1090,2,2,0.85,0,0
2020-21,10,10,1.4165439411764706,1,213,1,1,1.4165439411764706,7,0,1210,1130,3,3,1.0,0,0
2020-21,10,11,1.103202731276117,0,255,1,1,1.103202731276117,3,0,1100,1130,3,2,0.85,1,0
2020-21,10,12,0.8459003180610957,1,278,1,0.85,0.9951768447777596,4,1,1050,1060,2,2,0.85,0,0
2020-21,10,14,1.521126447975904,1,323,1,1,1.521126447975904,6,0,1150,1110,3,3,1.0,0,0
2020-21,10,15,1.2304371052631577,0,351,1,0.85,1.4475730650154797,18,0,1030,1040,2,2,0.85,0,0
2020-21,10,16,1.4336678420168065,0,363,1,1.2,1.1947232016806721,13,1,1230,1250,4,4,1.2,0,0
