element,GW,expected_goals
40,35,0.440860
41,2,0.062156
41,7,0.021205
41,13,0.349589
41,23,0.088435
41,24,0.062242
41,28,0.036474
41,37,0.463206
41,38,0.377656
47,2,0.098925
47,3,0.087028
47,4,0.056773
47,7,0.364175
47,8,0.023333
47,10,0.116236
47,11,0.066634
47,12,0.200788
47,13,0.085044
47,15,0.059513
47,16,0.507905
47,17,0.976978
47,18,0.051256
47,19,0.069926
47,20,0.202440
47,21,0.154597
47,22,0.388026
47,23,0.081566
47,24,0.174240
47,25,0.226017
47,26,0.230798
47,27,0.047262
47,28,0.122631
47,29,0.143587
47,30,0.053497
47,31,0.685131
47,32,0.499999
47,33,0.493989
47,34,0.158674
47,35,0.024561
47,36,0.112238
47,37,0.032815
48,2,0.055616
48,3,0.084608
48,11,0.040247
48,12,0.071443
48,13,0.031990
48,15,0.607501
48,17,0.018149
48,21,0.536698
48,22,0.042494
48,32,0.012271
48,34,0.070436
48,36,0.065974
48,37,0.053509
48,38,0.007606
49,23,0.040864
49,24,0.118888
49,27,0.045587
49,28,0.040682
49,30,0.051183
49,38,0.355766
50,2,0.101425
50,3,0.030549
50,4,0.085745
50,5,0.087716
50,6,0.603769
50,8,0.028881
50,9,0.013093
50,11,0.191895
50,12,0.074240
50,15,0.726879
50,18,0.018214
50,20,0.174499
50,21,0.047802
50,22,0.049179
50,23,0.144708
50,24,0.406840
50,25,0.070030
50,26,0.019732
50,27,0.094651
50,30,0.113219
50,33,0.080848
50,34,0.051972
50,35,0.087809
50,36,0.045888
50,37,0.043151
50,38,0.100868
52,3,0.051868
52,13,0.232635
52,15,0.104153
52,23,0.078619
52,26,0.354223
52,27,0.012744
52,28,0.047103
52,30,0.077195
52,31,0.013704
52,33,0.059721
52,34,0.035607
52,36,0.050595
53,1,0.058605
53,3,0.284164
53,5,0.048226
53,7,0.750465
53,8,0.079597
53,10,0.052632
53,11,0.489146
53,12,0.287627
53,13,0.415841
53,14,0.619054
53,15,0.302244
53,16,0.008786
53,19,0.978308
54,2,0.037442
54,5,0.067292
54,6,0.289296
54,7,0.037702
54,8,0.049562
54,9,0.146821
54,11,0.040173
54,12,0.034892
54,13,0.039506
54,14,0.021686
54,17,0.270275
54,19,0.818767
54,20,0.349085
54,30,0.042242
54,31,0.027244
54,32,0.070248
54,36,0.327406
54,37,0.034679
54,38,0.064542
55,7,0.112628
55,10,0.095086
55,11,0.089562
55,26,0.032588
55,27,0.055441
55,29,0.010013
55,30,0.367047
55,31,0.038591
55,32,0.026704
55,33,0.264720
55,36,0.640525
55,37,0.033037
58,1,0.161698
58,7,0.012654
58,11,0.027720
58,13,0.043175
58,15,0.116206
58,18,0.549031
58,21,0.060803
59,2,0.090286
59,11,0.033017
59,14,0.559221
59,26,0.037244
59,27,0.484476
59,28,0.469068
59,30,0.068092
59,31,0.355691
59,32,0.017962
59,33,0.444367
64,1,0.073810
64,2,0.322812
64,3,0.499747
64,6,0.273532
64,7,0.161345
64,8,0.081277
64,9,0.162752
64,11,0.781427
64,12,0.490591
64,14,0.941505
64,15,0.657668
64,17,0.560802
64,18,1.107747
64,19,1.456784
64,20,0.475059
64,21,0.968900
64,22,0.084817
64,23,0.796155
64,25,0.089090
64,26,0.014739
64,27,0.161259
64,28,0.085508
64,29,0.353503
64,31,0.923935
64,32,0.308206
64,33,1.727062
64,34,0.148827
64,35,0.009417
64,36,0.345836
64,37,1.995947
64,38,1.320538
72,3,0.018824
72,8,0.016638
72,12,0.018158
72,16,0.027983
72,17,0.559548
72,18,0.024926
72,19,0.008678
72,23,0.572931
72,24,0.035003
72,25,0.223183
72,27,0.032765
72,28,0.013656
72,30,0.068838
72,31,0.031151
72,33,0.056164
74,3,0.015421
74,7,0.027312
74,9,0.016534
74,10,0.016497
74,11,0.067146
74,13,0.043149
74,15,0.069224
74,19,0.071323
74,26,0.013882
74,27,0.015245
74,31,0.013071
74,33,0.916695
74,36,0.550336
77,4,0.060815
77,5,0.007992
77,19,0.014402
77,22,0.014906
77,23,0.058293
77,29,0.400316
77,30,0.140989
77,33,0.077291
77,37,0.102210
81,2,0.094321
81,4,0.093098
81,5,0.119470
81,7,0.015552
81,9,0.071774
81,11,0.012145
81,16,0.016788
81,17,0.027806
81,18,0.737232
81,19,0.792786
81,20,0.052821
81,38,0.083351
82,1,0.774056
82,2,1.157804
82,3,0.519980
82,4,0.776111
82,5,0.091374
82,6,0.144204
82,7,0.536576
82,8,0.159819
82,9,0.033996
82,10,0.017466
82,11,0.702664
82,13,0.196385
82,14,0.197174
82,15,0.224562
82,16,0.045404
82,17,0.118096
82,18,0.987732
82,19,0.457816
82,20,0.069109
82,21,0.112498
82,22,0.029403
82,23,0.295858
82,24,0.448336
82,25,0.114093
82,26,0.569736
82,27,0.303257
82,28,0.668737
82,29,0.511783
82,30,0.076712
82,32,0.365181
82,33,0.273644
82,35,0.101113
82,36,0.361657
82,37,0.019867
82,38,0.387927
83,2,0.939315
83,3,0.089509
83,5,0.130697
83,6,0.337948
83,8,0.538264
83,9,0.989177
83,10,0.086657
83,11,0.062061
83,13,0.433299
83,14,0.048245
83,16,0.081192
83,23,0.932197
83,24,0.057173
83,25,0.181305
83,26,0.056642
83,27,0.553997
83,28,0.045222
83,29,0.089909
83,30,0.030620
83,32,0.176789
83,33,0.507216
83,34,0.533039
83,35,0.044822
83,37,0.872103
83,38,0.208665
84,1,0.366064
84,2,0.099345
84,3,0.439698
84,4,0.036327
84,5,0.054227
84,9,0.129689
84,10,0.013942
84,11,0.216474
84,12,0.847235
84,13,0.196338
84,15,0.159291
84,16,0.821327
84,17,0.098113
84,18,0.024859
84,19,0.031606
84,20,0.230534
84,21,0.015663
84,22,0.713379
84,28,0.221290
84,29,1.194637
84,30,0.123989
84,31,0.457277
