season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2025-26,570,18,1477.0,0.146919431,1,1.227826676,1.239065674,1.212308338
2025-26,573,18,2046.0,0.296187683,2,1.382111437,1.370386119,1.361623541
2025-26,574,18,1316.0,0.521276596,2,1.309650456,1.316242401,1.356271049
2025-26,575,18,3041.0,0.052943111,0,1.272311740,1.333419928,1.372500396
2025-26,600,19,1800.0,0.000000000,0,1.765000000,1.811000000,1.960870900
2025-26,603,19,2706.0,0.201773836,1,1.451773836,1.534072432,1.645559118
2025-26,605,19,1558.0,0.017971759,0,1.922464698,1.869101412,2.072946109
2025-26,606,19,2531.0,0.039905176,0,1.458988542,1.517842750,1.598022428
2025-26,609,19,1817.0,0.108420473,1,1.670720969,1.663527793,1.809598833
2025-26,610,19,2080.0,0.177884615,1,1.533461538,1.593831731,1.739621270
2025-26,627,20,1080.0,0.000000000,0,1.549166667,1.557500000,1.654999750
2025-26,628,20,2070.0,0.000000000,0,1.532173913,1.530434783,1.603891304
2025-26,631,20,1100.0,0.100000000,1,1.494000000,1.570000000,1.553665955
2025-26,633,20,2359.0,0.351420093,2,1.533319203,1.509732938,1.631435423
2025-26,634,20,2136.0,0.241573034,2,1.534550562,1.503651685,1.615434514
2025-26,635,20,954.0,0.905660377,2,1.328301887,1.447520964,1.516947574
2025-26,636,20,2552.0,0.047805643,0,1.541849530,1.518052508,1.669184770
2025-26,637,20,1423.0,0.241040056,2,1.608362614,1.607765285,1.718108602
2025-26,659,19,1366.0,0.209370425,1,1.819765739,1.658579795,1.709413613
2025-26,662,1,950.0,0.621052632,2,0.856421053,0.843352632,0.868497401
2025-26,665,11,1440.0,0.000000000,0,1.667500000,1.735625000,1.581844062
2025-26,670,17,3150.0,0.000000000,0,1.430000000,1.464000000,1.568264486
2025-26,672,7,1131.0,0.442970822,2,1.472148541,1.309584439,1.425779250
2025-26,674,15,1003.0,0.012961117,0,1.689631107,1.498624128,1.561128868
2025-26,679,19,1620.0,0.000000000,0,1.332222222,1.343888889,1.428271889
2025-26,682,20,1040.0,0.653846154,2,1.759326923,1.678942308,1.734701428
2025-26,683,17,2797.0,0.131212013,1,1.432534859,1.478952449,1.511455312
