sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,21,18,5,false,1201,909,17,1,66.72222222222223,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,34,0,37,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2024-25,2023-24,21,18,5,false,1105,1047,16,0,61.388888888888886,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,33,9,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2025-26,2024-25,21,18,5,false,1074,950,16,1,59.666666666666664,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,33,14,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2020-21,2019-20,26,13,5,false,687,638,11,0,52.84615384615385,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,35,8,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2021-22,2020-21,26,13,5,false,733,636,14,3,56.38461538461539,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,36,9,28,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2022-23,2021-22,26,13,5,false,912,812,11,0,70.15384615384616,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,29,28,34,18,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,26,13,5,false,804,620,11,0,61.84615384615385,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,34,3,37,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2024-25,2023-24,26,13,5,false,729,710,9,0,56.07692307692308,54.61538461538461,,,,,,,710,54.61538461538461,637,49,33,7,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2025-26,2024-25,26,13,5,false,750,761,8,0,57.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,33,3,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,1,38,5,false,2196,1711,41,5,57.78947368421053,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,26,30,19,8,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,1,38,5,false,2234,1942,42,6,58.78947368421053,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,12,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,1,38,5,false,2049,1842,36,2,53.921052631578945,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,29,12,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,1,38,5,false,2319,1809,40,3,61.026315789473685,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,34,2,37,2,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,1,38,5,false,2222,1847,39,3,58.473684210526315,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,33,17,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,1,38,5,false,2191,1514,37,2,57.6578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,21,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,6,33,5,false,1898,1634,37,7,57.515151515151516,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,26,24,19,8,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,6,33,5,false,1851,1513,37,6,56.09090909090909,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,36,21,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,6,33,5,false,1760,1563,37,6,53.333333333333336,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,29,17,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,6,33,5,false,2061,1662,33,2,62.45454545454545,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,34,6,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,6,33,5,false,1936,1762,34,3,58.666666666666664,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,33,15,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,6,33,5,false,1885,1742,30,1,57.121212121212125,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,33,9,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,11,28,5,false,1626,1389,27,2,58.07142857142857,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,26,30,19,8,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,11,28,5,false,1539,1604,29,4,54.964285714285715,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,36,20,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,11,28,5,false,1556,1548,31,5,55.57142857142857,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,29,13,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,11,28,5,false,1718,1424,27,0,61.357142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,34,18,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,11,28,5,false,1803,1704,27,1,64.39285714285714,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,33,16,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,11,28,5,false,1580,1489,24,0,56.42857142857143,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,33,15,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,16,23,5,false,1367,1189,20,0,59.43478260869565,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,26,26,19,8,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,16,23,5,false,1303,1260,22,2,56.65217391304348,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,36,17,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,16,23,5,false,1378,1106,22,2,59.91304347826087,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,29,19,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,16,23,5,false,1464,1077,23,1,63.65217391304348,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,34,2,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,16,23,5,false,1464,1336,21,2,63.65217391304348,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,33,24,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,16,23,5,false,1370,1288,21,1,59.56521739130435,56,,,,,,,1289,56.04347826086956,1127,49,33,13,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,21,18,5,false,1019,942,17,2,56.611111111111114,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,26,13,35,19,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,21,18,5,false,1013,944,18,2,56.27777777777778,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,36,16,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,21,18,5,false,1166,1181,17,1,64.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,29,33,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,21,18,5,false,1181,909,17,1,65.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,34,0,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,21,18,5,false,1104,1047,14,0,61.333333333333336,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,33,15,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,21,18,5,false,1085,950,14,0,60.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,33,19,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2020-21,2019-20,26,13,5,false,668,638,12,1,51.38461538461539,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,35,14,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2021-22,2020-21,26,13,5,false,742,636,14,3,57.07692307692308,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,36,21,28,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2022-23,2021-22,26,13,5,false,912,812,11,0,70.15384615384616,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,29,28,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2023-24,2022-23,26,13,5,false,799,620,11,0,61.46153846153846,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,34,3,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2024-25,2023-24,26,13,5,false,727,710,10,0,55.92307692307692,54.61538461538461,,,,,,,710,54.61538461538461,637,49,33,19,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the bench boost,1,false,2025-26,2024-25,26,13,5,false,814,761,10,0,62.61538461538461,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,33,21,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2020-21,2019-20,1,38,5,false,2161,1711,39,3,56.86842105263158,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,26,0,19,8,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2021-22,2020-21,1,38,5,false,2299,1942,42,6,60.5,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,31,26,6,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2022-23,2021-22,1,38,5,false,2072,1842,38,2,54.526315789473685,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,29,2,34,18,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2023-24,2022-23,1,38,5,false,2247,1809,39,2,59.13157894736842,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,34,0,37,3,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2024-25,2023-24,1,38,5,false,2229,1847,36,2,58.6578947368421,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,33,17,0,0,-,none
CHIPPREP3#1,1786633955-567691,build toward the triple captain,2,false,2025-26,2024-25,1,38,5,false,2127,1514,36,2,55.973684210526315,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,4,0,0,-,none
