sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2022-23,2021-22,11,28,5,false,1725,1548,37,10,61.607142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,,55,f82a462d3eb2,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2023-24,2022-23,11,28,5,false,1824,1424,35,8,65.14285714285714,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,55,025d70cb5565,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,11,28,5,false,1875,1704,24,2,66.96428571428571,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,,55,d7639030dcde,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,11,28,5,false,1656,1489,28,3,59.142857142857146,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,,55,b5c18c2f39b5,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2020-21,2019-20,16,23,5,false,1365,1189,30,9,59.34782608695652,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,,55,38103e5146cf,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2021-22,2020-21,16,23,5,false,1411,1260,28,6,61.34782608695652,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,,55,88076620b267,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2022-23,2021-22,16,23,5,false,1434,1106,27,6,62.34782608695652,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,,55,f8a4e38b18ca,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2023-24,2022-23,16,23,5,false,1408,1077,36,14,61.21739130434783,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,,55,36f167db5055,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,16,23,5,false,1442,1336,29,6,62.69565217391305,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,,55,35d18512b286,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,16,23,5,false,1420,1288,22,3,61.73913043478261,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,,55,334a04b1176a,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2020-21,2019-20,21,18,5,false,1102,942,20,2,61.22222222222222,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,,55,3828563d2a28,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2021-22,2020-21,21,18,5,false,1177,944,22,5,65.38888888888889,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,,55,2614de13199f,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2022-23,2021-22,21,18,5,false,1176,1181,20,3,65.33333333333333,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,,55,31d9909a9a64,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2023-24,2022-23,21,18,5,false,1184,909,28,10,65.77777777777777,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,,55,5879fc9506cd,decision:transfergate,decision
