sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2020-21,2019-20,1,38,5,false,2120,1637,38,3,55.78947368421053,43.078947368421055,,,,,,,1639,43.13157894736842,1408,37.05263157894737,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2021-22,2020-21,1,38,5,false,1994,1811,38,3,52.473684210526315,47.6578947368421,,,,,,,1814,47.73684210526316,1549,40.76315789473684,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2022-23,2021-22,1,38,5,false,1979,1971,44,8,52.078947368421055,51.86842105263158,,,,,,,1977,52.026315789473685,1738,45.73684210526316,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2023-24,2022-23,1,38,5,false,2237,1802,37,1,58.86842105263158,47.421052631578945,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2024-25,2023-24,1,38,5,false,2255,1830,35,2,59.3421052631579,48.1578947368421,,,,,,,1770,46.578947368421055,1643,43.23684210526316,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2025-26,2024-25,1,38,5,false,2113,1512,36,2,55.60526315789474,39.78947368421053,,,,,,,1498,39.421052631578945,1375,36.18421052631579,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2020-21,2019-20,6,33,5,false,1766,1491,31,2,53.515151515151516,45.18181818181818,,,,,,,1497,45.36363636363637,1314,39.81818181818182,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2021-22,2020-21,6,33,5,false,1696,1589,38,7,51.39393939393939,48.15151515151515,,,,,,,1584,48,1369,41.484848484848484,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2022-23,2021-22,6,33,5,false,1789,1686,37,7,54.21212121212121,51.09090909090909,,,,,,,1553,47.06060606060606,1507,45.666666666666664,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2023-24,2022-23,6,33,5,false,2076,1650,33,2,62.90909090909091,50,,,,,,,1589,48.15151515151515,1417,42.93939393939394,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2024-25,2023-24,6,33,5,false,1936,1748,33,4,58.666666666666664,52.96969696969697,,,,,,,1621,49.121212121212125,1503,45.54545454545455,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2025-26,2024-25,6,33,5,false,1891,1729,31,3,57.303030303030305,52.39393939393939,,,,,,,1607,48.696969696969695,1519,46.03030303030303,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2020-21,2019-20,11,28,5,false,1622,1438,29,3,57.92857142857143,51.357142857142854,,,,,,,1447,51.67857142857143,1291,46.107142857142854,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2021-22,2020-21,11,28,5,false,1469,1448,34,8,52.464285714285715,51.714285714285715,,,,,,,1429,51.035714285714285,1276,45.57142857142857,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2022-23,2021-22,11,28,5,false,1628,1532,33,7,58.142857142857146,54.714285714285715,,,,,,,1399,49.964285714285715,1358,48.5,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2023-24,2022-23,11,28,5,false,1719,1411,27,1,61.392857142857146,50.392857142857146,,,,,,,1385,49.464285714285715,1257,44.892857142857146,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2024-25,2023-24,11,28,5,false,1772,1686,26,1,63.285714285714285,60.214285714285715,,,,,,,1686,60.214285714285715,1435,51.25,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2025-26,2024-25,11,28,5,false,1534,1476,24,0,54.785714285714285,52.714285714285715,,,,,,,1445,51.607142857142854,1304,46.57142857142857,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2020-21,2019-20,16,23,5,false,1306,1167,21,2,56.78260869565217,50.73913043478261,,,,,,,1098,47.73913043478261,1038,45.130434782608695,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2021-22,2020-21,16,23,5,false,1274,1306,25,4,55.391304347826086,56.78260869565217,,,,,,,1292,56.17391304347826,1179,51.26086956521739,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2022-23,2021-22,16,23,5,false,1337,1201,26,6,58.130434782608695,52.21739130434783,,,,,,,1059,46.04347826086956,1043,45.34782608695652,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2023-24,2022-23,16,23,5,false,1449,1062,22,1,63,46.17391304347826,,,,,,,1030,44.78260869565217,933,40.56521739130435,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2025-26,2024-25,16,23,5,false,1337,1275,23,3,58.130434782608695,55.43478260869565,,,,,,,1244,54.08695652173913,1127,49,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2020-21,2019-20,21,18,5,false,1143,1000,14,0,63.5,55.55555555555556,,,,,,,1002,55.666666666666664,900,50,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2021-22,2020-21,21,18,5,false,1003,1009,20,4,55.72222222222222,56.05555555555556,,,,,,,995,55.27777777777778,900,50,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2022-23,2021-22,21,18,5,false,1109,1116,17,3,61.611111111111114,62,,,,,,,1119,62.166666666666664,980,54.44444444444444,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2023-24,2022-23,21,18,5,false,1209,898,17,1,67.16666666666667,49.888888888888886,,,,,,,851,47.27777777777778,796,44.22222222222222,-,none
vice6#1,1786479999-275453,vice off (pre-fix),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
