season,gw,team,xgc,clean_sheet,element
2021-22,12,11,1.1233197823613088,1,229
2021-22,12,12,0.6385526126938799,1,256
2021-22,12,13,1.3365028675610595,0,270
2021-22,12,14,1.7006663052006408,0,292
2021-22,12,15,1.6110145894736843,0,314
2021-22,12,16,1.3717201368421055,0,334
2021-22,12,17,1.4023576786703602,0,353
2021-22,12,19,1.1937923669172932,0,408
2021-22,12,20,1.0922983627833933,1,439
2021-22,13,1,1.1348175957254247,1,67
2021-22,13,2,1.3844208472339905,0,44
2021-22,13,3,1.1675692972239884,1,76
2021-22,13,4,1.0865147400409274,1,59
2021-22,13,6,0.7894345983379502,0,127
2021-22,13,7,1.1962555459459459,0,146
2021-22,13,8,1.2430522509033122,0,169
2021-22,13,9,1.3509198754385965,0,200
2021-22,13,10,1.538244082159195,1,184
2021-22,13,11,1.0794657432432433,1,229
2021-22,13,12,0.6499479819482452,0,256
2021-22,13,13,1.3964182741830067,0,270
2021-22,13,15,1.5842226883333332,1,314
2021-22,13,16,1.32324398,0,334
2021-22,13,18,1.5770270700657132,0,387
2021-22,13,19,1.1946935485714285,0,408
2021-22,13,20,1.0577266946442234,1,439
2021-22,14,1,1.086801511739876,0,67
2021-22,14,2,1.360371393816447,0,44
2021-22,14,3,1.151669702915945,0,76
2021-22,14,4,1.0728701333723119,0,59
2021-22,14,6,0.7758416184210526,0,127
2021-22,14,7,1.159470377091377,0,146
2021-22,14,8,1.2362754770507736,0,169
2021-22,14,9,1.3909416432748538,0,200
2021-22,14,10,1.551250649675424,1,184
2021-22,14,11,1.0743639935649938,0,229
2021-22,14,12,0.6263500978910571,0,256
2021-22,14,13,1.4325233563647684,0,270
2021-22,14,15,1.5219938578811372,0,314
2021-22,14,16,1.3946618857142858,0,334
2021-22,14,17,1.3996973447368422,1,353
2021-22,14,18,1.6106835294843855,0,387
2021-22,14,19,1.2588274272108844,0,408
2021-22,14,20,1.068812280613546,1,439
2021-22,15,1,1.1177169861528822,0,67
2021-22,15,2,1.3409213808549185,0,44
