sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787763740-1802039,"anchored, 4 gameweeks of sight",3,false,2024-25,2023-24,21,18,5,false,1106,956,17,1,61.44444444444444,53.111111111111114,,,,,,,956,53.111111111111114,821,45.611111111111114,16,0,,,1.75,16,17,10,2,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,6,8,0,0,33,9,0,0,,,,,,,,,,,975.1398277823696,54.17443487679831,1117.1608103537183,62.06448946409546,,55,19ae61bc0abc,-,none
ANCHORED#1,1787763740-1802039,"anchored, 4 gameweeks of sight",3,false,2025-26,2024-25,21,18,5,false,1092,950,14,0,60.666666666666664,52.77777777777778,,,,,,,932,51.77777777777778,846,47,16,0,,,2,16,14,5,4,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,5,0,0,,,,,,,,,,,911.8662649436737,50.65923694131521,1038.5918761697412,57.69954867609673,,55,ba7dd2e202e8,-,none
ANCHORED#1,1787763740-1802039,"anchored, 4 gameweeks of sight",3,false,2023-24,2022-23,26,13,5,false,745,617,12,0,57.30769230769231,47.46153846153846,,,,,,,619,47.61538461538461,548,42.15384615384615,11,0,,,2.1818181818181817,11,12,5,1,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,17,13,15,1,0,0,34,13,37,2,,,,,,,,,,,635.3174394090777,48.87057226223674,775.6238959345279,59.6633766103483,,55,d725094b2efe,-,none
ANCHORED#1,1787763740-1802039,"anchored, 4 gameweeks of sight",3,false,2024-25,2023-24,26,13,5,false,726,692,12,1,55.84615384615385,53.23076923076923,,,,,,,692,53.23076923076923,619,47.61538461538461,11,0,,,1.6363636363636365,11,12,6,2,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,6,8,6,4,0,0,33,5,0,0,,,,,,,,,,,728.2816512936389,56.02166548412607,761.1644216180316,58.5511093552332,,55,685eecb0cbdb,-,none
ANCHORED#1,1787763740-1802039,"anchored, 4 gameweeks of sight",3,false,2025-26,2024-25,26,13,5,false,835,756,11,1,64.23076923076923,58.15384615384615,,,,,,,757,58.23076923076923,655,50.38461538461539,11,0,,,1.7272727272727273,11,11,2,3,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,8,10,8,10,0,0,33,10,0,0,,,,,,,,,,,706.201798946538,54.32321530357985,755.8340492700584,58.141080713081415,,55,32f63ab9f3ba,-,none
ANCHORED#1,1787763740-1802039,"anchored, 6 gameweeks of sight",4,false,2023-24,2022-23,1,38,5,false,2370,1806,39,2,62.36842105263158,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.8333333333333333,32,35,13,9,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,25,12,34,20,,,,,,,,,,,1836.5679154091795,48.33073461603104,2310.4012051093637,60.80003171340431,,55,7df5f95f1759,-,none
ANCHORED#1,1787763740-1802039,"anchored, 6 gameweeks of sight",4,false,2024-25,2023-24,1,38,5,false,2459,1908,37,2,64.71052631578948,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.6388888888888888,32,32,14,9,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,4,0,0,,,,,,,,,,,1977.8605960372556,52.04896305361199,2349.943471820104,61.84061767947642,,55,d0f719155ebc,-,none
ANCHORED#1,1787763740-1802039,"anchored, 6 gameweeks of sight",4,false,2025-26,2024-25,1,38,5,false,2208,1524,38,1,58.10526315789474,40.10526315789474,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,2.25,32,33,12,11,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,4,0,0,,,,,,,,,,,1582.7383874692666,41.651010196559646,2131.0079260517655,56.07915594873067,,55,cdb305de770a,-,none
ANCHORED#1,1787763740-1802039,"anchored, 6 gameweeks of sight",4,false,2023-24,2022-23,6,33,5,false,2137,1845,32,1,64.75757575757575,55.90909090909091,,,,,,,1823,55.24242424242424,1605,48.63636363636363,31,0,,,2.5806451612903225,31,32,10,7,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,25,12,34,20,,,,,,,,,,,1808.3155153299356,54.797439858482896,2097.3118672205264,63.55490506728868,,55,89cf0e4eb0f7,-,none
ANCHORED#1,1787763740-1802039,"anchored, 6 gameweeks of sight",4,false,2024-25,2023-24,6,33,5,false,2011,1719,32,2,60.93939393939394,52.09090909090909,,,,,,,1616,48.96969696969697,1460,44.24242424242424,31,0,,,2.096774193548387,31,32,15,7,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,6,0,0,,,,,,,,,,,1743.7100758159409,52.839699267149726,2051.6470566881676,62.171122929944474,,55,c4fd5ee169d0,-,none
