"block","metric","variant","variant_index","n","S","G","mean","mom_season","mom_start","mom_resid","reml_season","reml_start","reml_resid","f_season","p_season","f_start","p_start","sd_season_mean","se_cluster","se_naive"
"paired / AGG6R#1:v0","policy","shipped (aggregates rebuilt)",1,18,3,6,1.46125037772635,4.51981510875486,-2.06069729862804,14.7250896666792,4.86326456994318,2.79957059305554e-17,12.6643923886674,2.84167915214095,0.105391279570303,0.58016609502397,0.715159632491108,2.64083258081008,1.52468540141544,0.945670986601203
"paired / AGG6R#1:v0","hold","shipped (aggregates rebuilt)",1,18,3,6,-0.460435046914834,-2.87982844391438,-3.63063260484898,19.8650072459227,0,0,14.6286878106458,0.13018050033519,0.879400673035724,0.451704312024224,0.80316766507596,0.656510546048371,0.379036540486855,0.901501457774312
"paired / AGG6R#1:v0","hold_fixedcap","shipped (aggregates rebuilt)",1,18,3,6,-0.286087387059927,-2.20325436704156,-1.76362602306867,20.0285199136235,0,0,16.9171409282983,0.339964897093703,0.719710785343934,0.735832797829103,0.613329907653093,1.06528507228302,0.61504262324629,0.969454053930995
"paired / AGG6R#1:v0","hold_nocap","shipped (aggregates rebuilt)",1,18,3,6,-0.911392616198108,-2.72402132220973,-3.22003450920642,18.6314577490454,0,0,13.8674122487741,0.122767088147156,0.885782239739151,0.481516494429203,0.782730716929709,0.61743148280964,0.356474232806296,0.877731047416325
