sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,11,28,5,false,1781,1693,15,0,63.607142857142854,60.464285714285715,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,11,28,5,false,1599,1512,10,0,57.107142857142854,54,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,16,23,5,false,1311,1295,24,4,57,56.30434782608695,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,16,23,5,false,1230,1067,12,0,53.47826086956522,46.391304347826086,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,16,23,5,false,1387,1397,6,0,60.30434782608695,60.73913043478261,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,16,23,5,false,1350,1218,8,0,58.69565217391305,52.95652173913044,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,21,18,5,false,1143,1074,11,0,63.5,59.666666666666664,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,21,18,5,false,1074,968,11,0,59.666666666666664,53.77777777777778,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,21,18,5,false,1031,957,10,0,57.27777777777778,53.166666666666664,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,21,18,5,false,1089,989,12,0,60.5,54.94444444444444,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2022-23,2021-22,26,13,5,false,778,682,8,0,59.84615384615385,52.46153846153846,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2023-24,2022-23,26,13,5,false,691,621,5,0,53.15384615384615,47.76923076923077,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2024-25,2023-24,26,13,5,false,700,660,7,0,53.84615384615385,50.76923076923077,,,,,,
MINHL#1,1786292444-44749,flat (no recency),1,false,2025-26,2024-25,26,13,5,false,821,752,8,0,63.15384615384615,57.84615384615385,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,1,38,5,false,1933,1785,42,6,50.86842105263158,46.973684210526315,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,1,38,5,false,2237,1774,44,7,58.86842105263158,46.68421052631579,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,1,38,5,false,2477,2106,36,2,65.1842105263158,55.421052631578945,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,1,38,5,false,2120,1608,40,6,55.78947368421053,42.31578947368421,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,6,33,5,false,1782,1777,32,4,54,53.84848484848485,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,6,33,5,false,2172,1698,37,5,65.81818181818181,51.45454545454545,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,6,33,5,false,1927,1788,35,4,58.39393939393939,54.18181818181818,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,6,33,5,false,1823,1730,34,4,55.24242424242424,52.42424242424242,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,11,28,5,false,1585,1468,36,9,56.607142857142854,52.42857142857143,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,11,28,5,false,1608,1316,34,7,57.42857142857143,47,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,11,28,5,false,1845,1585,29,3,65.89285714285714,56.607142857142854,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,11,28,5,false,1513,1491,29,4,54.035714285714285,53.25,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,16,23,5,false,1335,1178,29,8,58.04347826086956,51.21739130434783,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,16,23,5,false,1364,1064,25,3,59.30434782608695,46.26086956521739,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,16,23,5,false,1389,1325,23,2,60.391304347826086,57.608695652173914,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,16,23,5,false,1315,1309,23,4,57.17391304347826,56.91304347826087,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,21,18,5,false,1079,1063,18,2,59.94444444444444,59.05555555555556,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,21,18,5,false,1132,924,21,4,62.888888888888886,51.333333333333336,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,21,18,5,false,1038,1004,18,2,57.666666666666664,55.77777777777778,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,21,18,5,false,1045,871,17,3,58.05555555555556,48.388888888888886,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2022-23,2021-22,26,13,5,false,754,774,12,1,58,59.53846153846154,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2023-24,2022-23,26,13,5,false,760,692,12,0,58.46153846153846,53.23076923076923,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2024-25,2023-24,26,13,5,false,677,650,11,0,52.07692307692308,50,,,,,,
MINHL#1,1786292444-44749,half-life 2,2,false,2025-26,2024-25,26,13,5,false,758,720,13,3,58.30769230769231,55.38461538461539,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,1,38,5,false,1940,1789,37,3,51.05263157894737,47.078947368421055,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,1,38,5,false,2262,1784,38,3,59.526315789473685,46.94736842105263,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,1,38,5,false,2449,2111,36,2,64.44736842105263,55.55263157894737,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,1,38,5,false,2148,1608,34,1,56.526315789473685,42.31578947368421,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,6,33,5,false,1772,1774,25,0,53.696969696969695,53.75757575757576,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,6,33,5,false,1961,1725,35,3,59.42424242424242,52.27272727272727,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,6,33,5,false,1935,1778,30,3,58.63636363636363,53.878787878787875,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,6,33,5,false,1934,1734,25,0,58.60606060606061,52.54545454545455,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,11,28,5,false,1590,1443,29,3,56.785714285714285,51.535714285714285,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,11,28,5,false,1699,1346,27,2,60.67857142857143,48.07142857142857,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,11,28,5,false,1790,1709,25,2,63.92857142857143,61.035714285714285,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,11,28,5,false,1567,1492,24,0,55.964285714285715,53.285714285714285,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,16,23,5,false,1395,1264,24,4,60.65217391304348,54.95652173913044,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,16,23,5,false,1391,1072,21,1,60.47826086956522,46.608695652173914,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,16,23,5,false,1452,1278,21,2,63.130434782608695,55.56521739130435,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,16,23,5,false,1343,1298,19,0,58.391304347826086,56.43478260869565,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,21,18,5,false,1063,1037,15,1,59.05555555555556,57.611111111111114,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,21,18,5,false,1202,1019,17,0,66.77777777777777,56.611111111111114,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,21,18,5,false,1064,994,15,1,59.111111111111114,55.22222222222222,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,21,18,5,false,1102,921,14,0,61.22222222222222,51.166666666666664,,,,,,
