sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
PRIORX#1,1787018877-2689854,"k8, levers off",0,true,2024-25,2023-24,16,23,5,false,1407,1336,22,2,61.17391304347826,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,22,0,,,1.8181818181818181,22,22,11,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,0,0,,,,,,,,,,,1341.1098827586973,58.30912533733466,1407.9519358103028,61.215301556969685,,55,35d18512b286,-,none
PRIORX#1,1787018877-2689854,"k8, levers off",0,true,2025-26,2024-25,16,23,5,false,1341,1288,23,3,58.30434782608695,56,,,,,,,1289,56.04347826086956,1127,49,22,0,,,1.9090909090909092,22,23,6,6,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1210.7845477335868,52.642806423199424,1266.091066249738,55.04743766303209,,55,334a04b1176a,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2020-21,2019-20,1,38,5,false,2122,1710,36,1,55.8421052631579,45,,,,,,,1711,45.026315789473685,1471,38.71052631578947,37,0,,,1.3783783783783783,33,32,11,9,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1729.51740804959,45.513616001304996,2139.8749378759985,56.31249836515786,,55,2aadee614ec1,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2021-22,2020-21,1,38,5,false,2193,1945,42,4,57.71052631578947,51.18421052631579,,,,,,,1987,52.28947368421053,1692,44.526315789473685,37,0,,,1.0810810810810811,33,37,16,13,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,,,,,,,,,,,1941.3754575217968,51.088827829520966,2248.748108663972,59.17758180694663,,55,2ee4dc9e44a7,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2022-23,2021-22,1,38,5,false,2049,1858,40,3,53.921052631578945,48.89473684210526,,,,,,,1845,48.55263157894737,1582,41.63157894736842,37,0,,,1.4054054054054055,33,35,15,6,15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,,,,,,,,,,,1857.092941709922,48.870866887103205,2088.8661297725794,54.97016130980472,,55,fe5b3efc1102,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2023-24,2022-23,1,38,5,false,2255,1809,39,3,59.3421052631579,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,37,0,,,2.027027027027027,33,32,12,8,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,,,,,,,,,,,1848.0006352101223,48.63159566342427,2242.3852557807763,59.01013831002043,,55,7df5f95f1759,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2024-25,2023-24,1,38,5,false,2513,1857,34,0,66.13157894736842,48.86842105263158,,,,,,,1825,48.026315789473685,1643,43.23684210526316,37,0,,,1.7297297297297298,33,29,15,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1923.1050234036252,50.608026931674345,2421.186584166596,63.715436425436735,,55,5062709cbae7,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2025-26,2024-25,1,38,5,false,1959,1522,39,4,51.55263157894737,40.05263157894737,,,,,,,1529,40.23684210526316,1375,36.18421052631579,37,0,,,1.1891891891891893,33,34,9,13,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1587.3363000484487,41.77200789601181,1958.3408646510836,51.53528591187062,,55,cdb305de770a,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2020-21,2019-20,16,23,5,false,1259,1112,22,0,54.73913043478261,48.34782608695652,,,,,,,1093,47.52173913043478,979,42.56521739130435,22,0,,,1.3636363636363635,22,22,6,7,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,34,32,23,0,0,0,0,,,,,,,,,,,1139.6978715550515,49.552081371958764,1304.6802176926471,56.72522685620205,,55,37159629a081,-,none
PRIORX#1,1787018877-2689854,"k24, levers off",1,false,2021-22,2020-21,16,23,5,false,1348,1181,28,6,58.608695652173914,51.34782608695652,,,,,,,1215,52.82608695652174,1072,46.608695652173914,22,0,,,1.0454545454545454,22,28,12,10,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,57,61,27,0,0,0,0,,,,,,,,,,,1243.7060583590146,54.07417645039194,1395.540222710704,60.67566185698713,,55,e787857d8e7e,-,none
