sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,11,28,5,false,1710,1424,27,1,61.07142857142857,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,,,,,,,,,,1412.0616730355432,50.430774036983685,1723.1767713162249,61.54202754700803,0,55,025d70cb5565,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,11,28,5,false,1776,1704,26,1,63.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,,,,,,,,,,,1656.4013083792024,59.15718958497151,1731.128318438055,61.826011372787676,0,55,d7639030dcde,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,11,28,5,false,1525,1489,24,0,54.464285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,,,,,,,,,,,1489.4444416753352,53.19444434554769,1546.6189630855467,55.236391538769524,0,55,b5c18c2f39b5,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,16,23,5,false,1319,1189,23,2,57.34782608695652,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,,,,,,,,,,,1229.9728241965981,53.47707931289557,1374.193622422808,59.74754880099165,0,55,38103e5146cf,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,16,23,5,false,1324,1260,24,3,57.56521739130435,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,,,,,,,,,,,1299.404660675238,56.495854811966865,1418.0266426719672,61.65333229008553,0,55,88076620b267,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,16,23,5,false,1352,1106,23,2,58.78260869565217,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,,,,,,,,,,,1120.5017860161925,48.71746895722576,1373.1288908764627,59.701256125063594,0,55,f8a4e38b18ca,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,16,23,5,false,1450,1077,22,1,63.04347826086956,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,,,,,,,,,,,1097.4323663170342,47.71445070943627,1434.6265998670942,62.37506955943888,0,55,36f167db5055,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,16,23,5,false,1401,1336,23,2,60.91304347826087,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,,,,,,,,,,,1341.1098827586973,58.30912533733466,1390.4662895546398,60.455056067593034,0,55,35d18512b286,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,16,23,5,false,1339,1288,23,3,58.21739130434783,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,,,,,,,,,,,1210.7845477335868,52.642806423199424,1264.7345107371789,54.98845698857299,0,55,334a04b1176a,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,21,18,5,false,1021,942,17,2,56.72222222222222,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,,,,,,,,,,,965.0577004029183,53.614316689051016,1054.3465314777486,58.574807304319364,0,55,3828563d2a28,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,21,18,5,false,1002,944,19,2,55.666666666666664,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,,,,,,,,,,,1001.6196502423109,55.64553612457283,1028.63757792194,57.146532106774444,0,55,2614de13199f,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,21,18,5,false,1164,1181,14,0,64.66666666666667,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,,,,,,,,,,,1159.1329566977274,64.39627537209597,1153.23616444564,64.06867580253555,0,55,31d9909a9a64,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,21,18,5,false,1199,909,17,1,66.61111111111111,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,,,,,,,,,,,983.9104970154252,54.661694278634734,1151.9267069275938,63.995928162644105,0,55,5879fc9506cd,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,,,,,,,,,,,1083.1214825517532,60.17341569731962,1089.8314755081706,60.54619308378725,0,55,0f4f24f82c7f,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,21,18,5,false,1049,950,15,1,58.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,,,,,,,,,,,939.2500791521638,52.180559952897994,1016.0242182221269,56.445789901229276,0,55,0f8336277f6d,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2020-21,2019-20,26,13,5,false,682,638,11,0,52.46153846153846,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,0,0,0,0,,,,,,,,,,,670.4208553775125,51.57083502903942,741.2867430638797,57.02205715875998,0,55,d47cf2db42a3,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2021-22,2020-21,26,13,5,false,733,636,15,4,56.38461538461539,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,0,0,0,0,,,,,,,,,,,683.4259804919013,52.571229268607794,803.1225275368372,61.77865596437209,0,55,1283622164da,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2022-23,2021-22,26,13,5,false,887,812,11,0,68.23076923076923,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,0,0,0,0,,,,,,,,,,,799.82001186357,61.524616297197696,862.5814639717099,66.35242030551615,0,55,485d7e3d0d70,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2023-24,2022-23,26,13,5,false,816,620,11,0,62.76923076923077,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,0,0,0,0,,,,,,,,,,,639.9664124973258,49.228185576717365,775.5788020866348,59.659907852818066,0,55,72c93b86408c,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,0,0,0,0,,,,,,,,,,,765.6749971066165,58.89807670050896,766.3847098439727,58.9526699879979,0,55,ab53d0f632bd,-,none
bandstrength#1,1786887667-1898223,band_strength 0 — FPL's blended FDR alone (ships),0,true,2025-26,2024-25,26,13,5,false,750,761,9,0,57.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,0,0,0,0,,,,,,,,,,,708.4052335728627,54.492710274835595,709.9283831918896,54.60987563014535,0,55,e2397dc452c0,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2020-21,2019-20,1,38,5,false,2188,1710,39,4,57.578947368421055,45,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,,,,,,,,,,,1729.722575115064,45.519015134606946,2191.739510527781,57.677355540204765,1,55,2aadee614ec1,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2021-22,2020-21,1,38,5,false,2198,1942,39,3,57.8421052631579,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,,,,,,,,,,,1931.8732187563267,50.83876891464018,2273.712078458187,59.83452838047861,1,55,2ee4dc9e44a7,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2022-23,2021-22,1,38,5,false,2055,1842,36,1,54.078947368421055,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2097.057098107234,55.18571310808511,1,55,fe5b3efc1102,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2023-24,2022-23,1,38,5,false,2327,1809,38,1,61.23684210526316,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,,,,,,,,,,,1848.0006352101223,48.63159566342427,2342.456864042922,61.64360168534005,1,55,7df5f95f1759,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2024-25,2023-24,1,38,5,false,2395,1855,33,1,63.026315789473685,48.81578947368421,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,,,,,,,,,,,1918.7516620325991,50.49346479033156,2316.9673297129443,60.97282446613011,1,55,5062709cbae7,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2025-26,2024-25,1,38,5,false,2038,1514,36,3,53.63157894736842,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,,,,,,,,,,,1575.5209560031244,41.46107778955591,1972.6060455118202,51.910685408205794,1,55,cdb305de770a,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2020-21,2019-20,6,33,5,false,1864,1626,35,5,56.484848484848484,49.27272727272727,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,,,,,,,,,,,1716.4559723778736,52.01381734478405,1953.9952548520555,59.21197741975926,1,55,a4700023ca5f,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2021-22,2020-21,6,33,5,false,1868,1595,38,7,56.60606060606061,48.333333333333336,,,,,,,1618,49.03030303030303,1373,41.60606060606061,0,0,0,0,,,,,,,,,,,1675.5089565289336,50.772998682694954,1953.6869706219381,59.202635473392064,1,55,4a9f695ab692,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2022-23,2021-22,6,33,5,false,1799,1569,32,3,54.515151515151516,47.54545454545455,,,,,,,1519,46.03030303030303,1390,42.121212121212125,0,0,0,0,,,,,,,,,,,1551.0126616238806,47.00038368557214,1817.4070774471113,55.072941740821555,1,55,c67806890abd,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2023-24,2022-23,6,33,5,false,2006,1662,34,3,60.78787878787879,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,,,,,,,,,,,1658.2194196024016,50.2490733212849,1994.1234478719362,60.42798326884655,1,55,e4d98525659c,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2024-25,2023-24,6,33,5,false,1918,1792,33,4,58.121212121212125,54.303030303030305,,,,,,,1678,50.84848484848485,1522,46.121212121212125,0,0,0,0,,,,,,,,,,,1806.756096817382,54.75018475204188,1981.19957160162,60.03635065459454,1,55,2bdbf9bd94a2,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2025-26,2024-25,6,33,5,false,1834,1704,32,3,55.57575757575758,51.63636363636363,,,,,,,1622,49.15151515151515,1481,44.878787878787875,0,0,0,0,,,,,,,,,,,1666.6313686517638,50.50398086823527,1794.6365502889419,54.382925766331574,1,55,cb383ffd62c2,-,none
