"block","variant","variant_index","mean_all","early","late","contrast","se","df","t","p","gw1_vs_rest","gw1_t","gw1_p","gw1_df","n_seasons","byte_identical","gw1","gw6","gw11","gw16","gw21","gw26","p_holm"
"1786708411-807087 / BLEND#1","BlendRateK=12",1,-0.306177749207879,-0.282961190855929,0.466524216524216,0.749485407380145,0.881727737956961,5,0.850019087657113,0.43411908151613,0.40951856220735,0.696229198904265,0.517314737104684,5,6,FALSE,0.0350877192982454,-0.601010101010103,-2.49404761904762,0.289855072463767,-0.75925925925926,1.69230769230769,1
"1786708411-807087 / BLEND#1","BlendRateK=16",2,0.306139061097108,0.250598086124401,1.23433048433048,0.983732398206084,1.62294920084754,5,0.60613874894689,0.570884898148886,-0.256840557527057,-0.493439202946692,0.642609729241321,5,6,FALSE,0.0921052631578938,0.409090909090908,-1.98809523809524,0.855072463768114,-0.518518518518519,2.98717948717949,1
"1786708411-807087 / BLEND#1","BlendRateK=24",3,0.331461361829401,-0.125598086124404,2.24537037037037,2.37096845649477,2.26737075592162,5,1.0456906751146,0.343598976462008,-0.208279949984757,-0.291908779704806,0.78208014412198,5,6,FALSE,0.157894736842104,-0.409090909090911,-1.94642857142857,-0.304347826086957,0.990740740740739,3.5,1
"1786639147-596472 / MINHL#1","flat (no recency)",1,-0.0401724603192951,0.188330675172779,-0.296296296296296,-0.484626971469076,1.25007652628304,5,-0.387677843139779,0.714208921881069,0.185049057646312,0.341578194646808,0.746555908630677,5,6,FALSE,0.114035087719298,0.262626262626261,-0.0178571428571412,-0.00724637681159497,-0.425925925925926,-0.166666666666667,1
"1786639147-596472 / MINHL#1","half-life 2",2,-0.638993321916663,-0.123670919723552,-0.698717948717949,-0.575047028994396,1.41883567917604,5,-0.405295015789528,0.702020068925591,0.645739354721046,1.01776482158744,0.355481511283934,5,6,FALSE,-0.100877192982458,-0.146464646464647,-0.696428571428568,-1.49275362318841,-2,0.602564102564102,1
"1786639147-596472 / MINHL#1","half-life 8",3,0.445892663570008,-0.353136629452421,1.31089743589744,1.66403406534986,0.927309649080215,5,1.7944750893085,0.132698152017419,-0.461386985757697,-1.34756822230238,0.235636561375934,5,6,FALSE,0.061403508771928,-0.767676767676769,-0.76190476190476,1.52173913043478,0.583333333333333,2.03846153846154,1
"1786639147-596472 / MINHL#1","half-life 20",4,0.147109113165558,-0.307416267942585,0.715099715099715,1.0225159830423,1.15979898865823,5,0.881632069903123,0.418335155800895,0.0129427484118546,0.0293001004038546,0.977758790414694,5,6,FALSE,0.157894736842104,-0.772727272727273,-0.309523809523809,0.376811594202898,0.814814814814814,0.615384615384616,1
"1786639915-600276 / FIXW#1","fixture weight 0.00",1,-0.482031969922894,-1.03488835725678,0.28133903133903,1.31622738859581,1.24111480824245,5,1.06052025151462,0.337426103092539,-1.06893005714516,-1.05027867691596,0.341679082411609,5,6,FALSE,-1.37280701754386,-0.696969696969699,-1.92857142857143,0.543478260869565,-0.462962962962965,1.02564102564103,1
"1786639915-600276 / FIXW#1","fixture weight 0.35",2,0.0242851284517946,0.0378787878787872,0.549857549857549,0.511978761978762,0.900329399021099,5,0.568657163184298,0.594177930559085,-0.0291421541421535,-0.0830537282224247,0.937031344911185,5,6,FALSE,0,0.0757575757575744,-0.696428571428571,-0.333333333333335,-0.925925925925927,2.02564102564103,1
"1786639915-600276 / FIXW#1","fixture weight 1.00",3,0.0103035560224727,0.0460526315789463,0.0804843304843317,0.0344316989053854,0.692934557640575,5,0.0496896835721755,0.96229354549766,0.0981620485625039,0.217515077451955,0.836404747442268,5,6,FALSE,0.0921052631578926,0,-0.386904761904762,0.195652173913042,-0.351851851851851,0.512820512820515,1
