"block","metric","variant","variant_index","n","S","G","mean","mom_season","mom_start","mom_resid","reml_season","reml_start","reml_resid","f_season","p_season","f_start","p_start","sd_season_mean","se_cluster","se_naive"
"paired / XG6R#1:v0","policy","expected-goals backfill, xGC still absent",1,18,3,6,2.03983164051814,-1.98406743198886,-2.38751873974113,13.5050342475744,0,0,9.99788187816359,0.118520962353626,0.889462392870791,0.46963805585981,0.790885997782466,0.516499379741671,0.298201055930129,0.745277050579313
"paired / XG6R#1:v0","hold","expected-goals backfill, xGC still absent",1,18,3,6,2.71016967184015,-2.96099166004772,-5.27009731867993,21.3593724800654,0,0,14.6191748506082,0.168236333868551,0.847497053701791,0.2597960464056,0.925049131610582,0.773888721520416,0.446804861692627,0.901208289236925
"paired / XG6R#1:v0","hold_fixedcap","expected-goals backfill, xGC still absent",1,18,3,6,2.87508207883875,-3.57573110034018,-6.28114860915244,24.3463208129672,3.50200851805557e-15,5.67143878347571e-21,16.2800853811219,0.118783213001359,0.889234567058729,0.226024910613145,0.942780097504955,0.694254301502231,0.400827907858369,0.95102533501485
"paired / XG6R#1:v0","hold_nocap","expected-goals backfill, xGC still absent",1,18,3,6,0.763002930623068,-1.60930304369473,-4.54517888921188,20.1924298233204,0,0,15.0459992431724,0.521809987868977,0.608755267096255,0.324720363673723,0.886894341027913,1.32517996017849,0.765093006733748,0.91426957011754
