"metric","arms","v_season","v_start","v_resid","S","G","v_season_used","v_start_used"
"policy",1,-1.98406743198886,-2.38751873974113,13.5050342475744,3,6,0,0
"hold",1,-2.96099166004772,-5.27009731867993,21.3593724800654,3,6,0,0
"hold_fixedcap",1,-3.57573110034018,-6.28114860915244,24.3463208129672,3,6,0,0
"hold_nocap",1,-1.60930304369473,-4.54517888921188,20.1924298233204,3,6,0,0
