element,GW,expected_goals,expected_assists
20,33,0.093259,0.000000
20,35,0.327455,0.000000
20,36,1.459596,0.000000
20,37,0.487353,0.039232
20,38,0.245858,0.000000
21,10,0.052291,0.000000
22,2,0.528648,0.000000
22,4,0.050972,0.000000
22,8,0.097968,0.078228
22,11,0.000000,0.042935
22,13,0.035740,0.318365
22,14,0.085406,0.000000
22,18,0.040761,0.000000
22,32,0.901849,0.066690
22,33,0.116394,0.100564
23,15,0.127690,0.086477
23,16,0.000000,0.092628
23,17,0.088028,0.730633
23,18,0.021922,0.000000
23,19,0.000000,0.202014
23,20,0.051860,0.000000
23,21,0.059237,0.128652
23,22,0.000000,0.031540
23,23,0.103993,0.058600
23,24,0.045622,0.633610
23,28,0.016646,0.414844
23,29,0.000000,0.009690
23,32,0.055878,0.430450
23,35,0.891872,0.000000
23,38,0.000000,0.141900
24,2,0.154603,0.107638
24,4,0.411343,0.000000
24,5,0.399663,0.008243
24,6,0.175372,0.067216
24,7,0.062020,0.000000
24,9,0.267460,0.149189
24,10,0.398695,0.177687
24,11,0.078465,0.048364
24,12,0.441922,0.064181
24,13,0.028134,0.020008
24,14,0.143904,0.023074
24,15,0.098795,0.000000
24,16,0.232461,0.651290
24,17,0.917795,0.037862
24,18,0.074617,0.060600
24,19,0.297036,0.370041
24,20,0.514449,0.801691
24,22,0.383210,0.000000
24,23,0.054169,0.077215
24,24,0.026059,0.000000
24,25,0.178824,0.000000
24,27,0.778433,0.289610
24,28,0.000000,0.101830
24,29,0.157625,0.008306
24,31,0.043387,0.045775
24,32,0.030560,0.133212
24,33,0.153046,0.079190
24,35,0.084407,0.348428
24,37,0.000000,0.017174
26,14,0.052564,0.000000
26,15,0.291901,0.000000
26,16,0.051626,0.000000
26,19,0.040659,0.000000
26,21,0.000000,0.015226
26,31,0.726188,0.038601
26,32,0.983222,0.456088
26,33,0.052962,0.000000
26,34,0.017295,0.817489
26,35,0.069600,0.099447
26,37,0.702068,0.000000
29,4,0.000000,0.036866
29,13,0.044078,0.254805
29,25,0.000000,0.059569
29,26,0.109126,0.347749
29,27,0.020968,0.000000
29,28,0.000000,0.042879
29,33,0.046601,0.050961
29,35,0.053767,0.000000
29,36,0.038993,0.015934
33,2,0.040101,0.054849
33,3,0.349538,0.696472
33,10,0.132150,0.000000
37,2,0.252446,0.120201
37,3,0.428432,0.172965
37,4,0.350199,1.045594
37,5,0.000000,0.535325
37,6,0.694619,0.086170
37,7,0.663192,0.389358
37,8,0.394456,0.300869
37,9,0.021301,0.365139
37,10,0.077119,0.159458
37,12,0.183578,0.069537
37,13,0.317814,0.269033
37,14,0.045479,0.598782
37,15,0.368549,0.913105
37,16,0.026025,0.077543
37,17,0.000000,0.788937
37,19,0.108874,0.258603
37,20,0.584159,0.280005
37,21,0.000000,0.273601
37,22,0.040815,0.386238
37,23,0.076733,0.223979
37,24,0.070258,0.000000
37,35,0.000000,0.037339
37,37,0.066569,0.234203
37,38,0.000000,0.043504
38,2,0.035311,0.152149
38,3,0.095609,0.665629
38,4,0.015977,0.205291
38,5,0.009468,0.061177
38,6,0.035845,0.000000
38,7,0.000000,0.078384
38,8,0.000000,0.200987
38,9,0.016896,0.020735
38,10,0.059792,0.000000
38,12,0.014346,0.027379
38,13,0.000000,0.037326
38,14,0.374018,0.000000
38,16,0.014635,0.063896
38,17,0.033979,0.000000
38,19,0.101558,0.000000
38,20,0.016383,0.334035
38,23,0.014107,0.000000
38,24,0.000000,0.010924
38,25,0.106497,0.000000
38,26,0.352820,0.056946
38,27,0.000000,0.031009
38,28,0.063992,0.035002
38,29,0.032212,0.097194
38,30,0.043131,0.017609
38,31,0.000000,0.090928
38,32,0.348234,0.066611
38,33,0.027070,0.185394
38,34,0.037402,0.167581
38,35,0.048529,0.076701
38,36,0.032234,0.000000
38,37,0.026184,0.163045
38,38,0.034262,0.016316
39,13,0.314099,0.000000
39,15,0.786730,0.000000
39,16,0.047106,0.000000
39,36,0.049847,0.000000
40,2,0.119801,0.061828
40,3,0.037784,0.000000
40,4,0.023733,0.979329
40,5,0.087458,0.000000
40,6,0.125996,0.236949
40,7,0.245996,0.000000
40,8,0.098657,0.000000
40,9,0.927603,0.022334
40,10,0.655989,0.345739
40,19,0.479425,0.000000
40,25,0.015493,0.000000
40,27,0.000000,0.039683
40,28,0.069271,0.069504
40,29,0.139812,0.000000
40,30,0.538145,0.000000
40,31,0.090451,0.000000
41,2,0.013503,0.042710
41,3,0.429189,0.000000
41,6,0.000000,0.013421
41,7,0.418032,0.000000
41,9,0.390893,0.000000
41,13,0.100882,0.065314
41,14,0.000000,0.023597
41,17,0.074641,0.000000
41,19,0.035195,0.000000
41,20,0.055101,0.000000
41,22,0.023726,0.000000
41,25,0.066955,0.000000
41,26,0.139831,0.000000
41,30,0.000000,0.053568
41,33,0.077300,0.108945
41,35,0.068795,0.000000
42,5,0.064957,0.000000
42,6,0.096854,0.000000
42,7,0.000000,0.141463
42,8,0.000000,0.027591
42,10,0.000000,0.125783
42,12,0.000000,0.051269
42,13,0.000000,0.095812
42,14,0.000000,0.106787
42,19,0.012728,0.000000
42,20,0.054837,0.509850
42,21,0.000000,0.080005
42,23,0.000000,0.065361
42,25,0.000000,0.127987
42,26,0.000000,0.036836
42,28,0.000000,0.102282
42,29,0.000000,0.039885
42,31,0.000000,0.297231
42,33,0.000000,0.133519
42,35,0.028145,0.194906
42,36,0.000000,0.084136
42,37,0.000000,0.020063
42,38,0.000000,0.047612
44,4,0.020434,0.000000
44,13,0.000000,0.017462
44,19,0.009961,0.000000
44,23,0.000000,0.031036
45,9,0.000000,0.022836
45,12,0.699300,0.000000
45,13,0.327781,0.173938
45,14,1.634281,0.000000
45,15,1.105559,0.474493
45,16,0.365159,0.036175
45,17,0.088802,0.000000
45,25,0.000000,0.108050
45,26,0.660398,0.269904
45,28,0.411936,0.000000
45,29,0.012618,0.000000
45,30,0.028076,0.072467
45,31,0.067061,0.000000
45,33,0.776337,0.157439
45,34,0.469532,0.000000
45,35,0.266558,0.079823
45,36,0.461552,0.034692
45,37,0.179785,0.109190
45,38,0.748197,0.000000
46,2,0.048005,0.000000
46,5,0.306015,0.000000
46,6,0.069444,0.000000
46,8,0.031012,0.000000
46,9,0.343749,0.000000
46,10,0.095499,0.000000
46,12,0.043737,0.000000
46,20,0.118286,0.000000
46,22,0.000000,0.037717
46,25,0.582438,0.038443
46,26,0.053097,0.000000
46,27,0.623396,0.000000
46,28,0.048115,0.000000
46,30,0.081452,0.000000
46,31,0.334084,0.000000
46,33,0.093573,0.000000
46,36,0.129563,0.000000
46,37,0.022551,0.000000
48,33,0.030209,0.000000
50,2,0.000000,0.020930
50,17,0.228163,0.000000
50,29,0.056485,0.067822
50,30,0.000000,0.335479
50,32,0.041440,0.000000
50,33,0.787004,0.000000
50,35,0.000000,0.135359
50,36,0.052554,0.000000
52,2,0.082446,0.019861
52,5,0.032007,0.000000
52,6,0.000000,0.013772
52,7,0.012483,0.399274
52,8,0.000000,0.135785
52,9,0.060430,0.015032
52,10,0.000000,0.025705
52,12,0.063812,0.049874
52,14,0.013467,0.137674
52,19,0.568427,0.023098
52,20,0.000000,0.422469
52,21,0.009063,0.000000
52,22,0.029620,0.000000
52,24,0.016547,0.000000
52,25,0.043210,0.518189
52,28,0.011101,0.012716
52,30,0.079839,0.015502
52,32,0.178871,0.036191
52,35,0.010315,0.061207
52,37,0.000000,0.090184
54,1,0.000000,0.064867
54,4,0.000000,0.016405
54,5,0.029866,0.000000
54,6,0.050699,0.348203
54,7,0.000000,0.042179
54,8,0.134616,0.391998
54,9,0.125638,0.222238
54,14,0.019219,0.098058
54,15,0.000000,0.022453
54,22,0.000000,0.013564
54,24,0.015101,0.708629
54,25,0.191702,0.000000
54,27,0.511347,0.000000
54,29,0.000000,0.045320
54,31,0.174478,0.112444
54,32,0.141078,0.015685
54,33,0.089349,0.046637
55,3,0.017998,0.000000
55,4,0.031092,0.000000
55,15,0.026493,0.000000
57,3,0.035853,0.000000
57,5,0.000000,0.042825
57,6,0.000000,0.009022
57,7,0.000000,0.186103
57,8,0.188104,0.085510
57,9,0.000000,0.525058
57,10,0.699300,0.060094
57,11,0.874133,0.196082
57,12,0.000000,0.051380
57,15,0.000000,0.041997
57,16,0.025457,0.123790
57,19,0.000000,0.019401
57,20,0.195003,0.063779
57,21,0.115017,0.796018
57,22,0.044197,0.142841
57,23,0.068437,0.130303
57,24,0.153944,0.159458
57,25,0.144463,0.080491
57,26,0.732850,0.478762
57,27,0.000000,0.199940
