sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,1484.6570035466896,53.02346441238177,1618.0623377843406,57.78794063515502,,55,f82a462d3eb2,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,1412.0616730355432,50.430774036983685,1753.800767612196,62.635741700435574,,55,025d70cb5565,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,1656.4013083792024,59.15718958497151,1745.622161582135,62.3436486279334,,55,d7639030dcde,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,1489.4444416753352,53.19444434554769,1572.6506898682223,56.166096066722226,,55,b5c18c2f39b5,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2020-21,2019-20,16,23,5,false,1359,1189,23,2,59.08695652173913,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,1229.9728241965981,53.47707931289557,1394.0369559710434,60.61030243352363,,55,38103e5146cf,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2021-22,2020-21,16,23,5,false,1309,1260,24,3,56.91304347826087,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,1299.404660675238,56.495854811966865,1414.1165332175156,61.48332753119633,,55,88076620b267,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,1120.5017860161925,48.71746895722576,1386.3274264453617,60.275105497624416,,55,f8a4e38b18ca,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,1097.4323663170342,47.71445070943627,1442.8746884566747,62.73368210681194,,55,36f167db5055,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,1341.1098827586973,58.30912533733466,1397.4827038860983,60.760117560265144,,55,35d18512b286,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,1210.7845477335868,52.642806423199424,1285.888514869168,55.908196298659476,,55,334a04b1176a,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2020-21,2019-20,21,18,5,false,1069,942,17,2,59.388888888888886,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,965.0577004029183,53.614316689051016,1082.3619207851907,60.13121782139948,,55,3828563d2a28,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2021-22,2020-21,21,18,5,false,999,944,19,2,55.5,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,1001.6196502423109,55.64553612457283,1047.2834186278126,58.18241214598959,,55,2614de13199f,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,21,18,5,false,1202,1181,14,0,66.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,1159.1329566977274,64.39627537209597,1175.7659957262754,65.32033309590419,,55,31d9909a9a64,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,983.9104970154252,54.661694278634734,1175.3240336243814,65.29577964579897,,55,5879fc9506cd,-,none
