sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2021-22,2020-21,21,18,5,false,1001,946,19,2,55.611111111111114,52.55555555555556,,,,,,,964,53.55555555555556,857,47.611111111111114,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2022-23,2021-22,21,18,5,false,1091,1079,17,1,60.611111111111114,59.94444444444444,,,,,,,1069,59.388888888888886,930,51.666666666666664,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2023-24,2022-23,21,18,5,false,1200,969,18,2,66.66666666666667,53.833333333333336,,,,,,,965,53.611111111111114,856,47.55555555555556,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2024-25,2023-24,21,18,5,false,1071,1040,16,2,59.5,57.77777777777778,,,,,,,1040,57.77777777777778,905,50.27777777777778,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2025-26,2024-25,21,18,5,false,1024,903,17,1,56.888888888888886,50.166666666666664,,,,,,,888,49.333333333333336,802,44.55555555555556,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2020-21,2019-20,26,13,5,false,739,679,10,0,56.84615384615385,52.23076923076923,,,,,,,687,52.84615384615385,620,47.69230769230769,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2021-22,2020-21,26,13,5,false,717,626,12,1,55.15384615384615,48.15384615384615,,,,,,,624,48,568,43.69230769230769,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2022-23,2021-22,26,13,5,false,876,862,7,0,67.38461538461539,66.3076923076923,,,,,,,858,66,746,57.38461538461539,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2023-24,2022-23,26,13,5,false,846,759,11,0,65.07692307692308,58.38461538461539,,,,,,,740,56.92307692307692,669,51.46153846153846,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2024-25,2023-24,26,13,5,false,685,705,11,1,52.69230769230769,54.23076923076923,,,,,,,705,54.23076923076923,632,48.61538461538461,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2025-26,2024-25,26,13,5,false,788,737,12,2,60.61538461538461,56.69230769230769,,,,,,,738,56.76923076923077,636,48.92307692307692,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2020-21,2019-20,1,38,5,false,2139,1740,39,3,56.28947368421053,45.78947368421053,,,,,,,1746,45.94736842105263,1506,39.63157894736842,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2021-22,2020-21,1,38,5,false,2284,1942,42,6,60.10526315789474,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2023-24,2022-23,1,38,5,false,2225,1786,37,2,58.55263157894737,47,,,,,,,1759,46.28947368421053,1548,40.73684210526316,0,0,0,0,-,none
