sweep,arm,season,start_gw,gw,n_moves,hit_net,out_played,wildcard_after,in_ids,hit,hold_net,hold_out_played,hold_weeks,out_was_captain
HITTUNE,"mgh3, flat (shipped)",2021-22,1,4,1,-8,true,false,262,false,-3,true,9,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,22,1,-7,true,false,468,false,-40,true,11,false
HITTUNE,"mgh3, flat (shipped)",2021-22,1,29,1,2,true,false,559,false,6,true,10,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,15,2,3,true,false,465|210,false,-15,true,5,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,22,1,12,true,false,705,false,19,true,8,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,27,1,2,true,false,124,false,5,true,12,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,35,1,-6,true,false,302,false,-2,false,1,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,19,2,-2,true,false,301|7,true,-31,true,20,true
HITTUNE,"mgh3, flat (shipped)",2022-23,1,30,2,-12,true,false,335|40,false,-36,true,9,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,30,1,1,true,false,465,true,13,true,3,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,11,2,11,true,false,427|373,true,170,true,28,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,23,1,13,true,false,407,false,13,false,3,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,26,1,0,true,false,104,false,1,true,4,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,34,1,-8,true,false,610,false,-2,false,1,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,36,1,11,true,false,377,false,11,true,3,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,10,2,-34,true,false,304|26,false,27,false,18,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,18,1,13,true,false,593,false,14,true,4,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,21,2,12,false,false,283|558,true,183,true,18,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,24,1,-1,true,false,81,false,13,true,15,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,2,2,5,true,false,210|321,false,-44,true,13,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,3,1,5,false,false,295,false,19,true,36,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,4,1,10,true,false,394,false,2,false,2,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,12,1,4,true,false,116,false,2,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,16,1,-16,true,false,307,false,-17,true,8,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,32,2,16,true,false,285|107,false,13,true,7,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,37,1,8,false,false,116,false,8,false,2,false
