sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,1369.950452473827,48.92680187406525,1681.7668029069196,60.063100103818556,4,55,025d70cb5565,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,1612.5162738423217,57.58986692294006,1692.5700393239376,60.44892997585492,4,55,d7639030dcde,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,1460.0963763679479,52.146299155998136,1528.6667083916182,54.59523958541494,4,55,b5c18c2f39b5,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2020-21,2019-20,16,23,5,false,1359,1189,23,2,59.08695652173913,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,1164.5630171585456,50.6331746590672,1326.2567877713918,57.66333859875617,4,55,38103e5146cf,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2021-22,2020-21,16,23,5,false,1309,1260,24,3,56.91304347826087,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,0,0,0,0,1236.7423511299078,53.77140657086556,1350.5448173226582,58.71933988359383,4,55,88076620b267,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,1089.8748991294135,47.38586517953972,1350.1852652599898,58.70370718521695,4,55,f8a4e38b18ca,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,0,0,0,0,1060.1205409494346,46.092197432584115,1384.4572275548624,60.19379250238532,4,55,36f167db5055,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,0,0,0,0,1300.5325025342838,56.54489141453408,1352.588154751708,58.80818064137861,4,55,35d18512b286,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,1184.5938164571598,51.504078976398254,1248.9968461062922,54.30421070027357,4,55,334a04b1176a,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2020-21,2019-20,21,18,5,false,1069,942,17,2,59.388888888888886,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,918.7907298036646,51.043929433536924,1033.0355801611654,57.39086556450919,4,55,3828563d2a28,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2021-22,2020-21,21,18,5,false,999,944,19,2,55.5,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,955.488332032432,53.08268511291289,999.3452366001915,55.519179811121745,4,55,2614de13199f,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2022-23,2021-22,21,18,5,false,1202,1181,14,0,66.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,0,0,0,0,1136.7383410230484,63.15213005683602,1153.3268736750579,64.07371520416989,4,55,31d9909a9a64,-,none
XPPILOT#1,1786766030-1142414,half-life 4 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,0,0,0,0,943.6633213731826,52.42574007628792,1127.522917863676,62.640162103537556,4,55,5879fc9506cd,-,none
